model,judge_avg,judge_std,judge_min,judge_max,latency_avg,latency_std,eval_id,bleu,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
arn:aws:bedrock:us-east-1:867344470723:inference-profile/global.amazon.nova-2-lite-v1:0,0.0,0.0,0,0,0.0,0.0,20260209_220019,0.0,0.0,0.0,0.0,0.820869654417038,0.8460871088504791,0.8331400942802429
arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-5-haiku-20241022-v1:0,0.0,0.0,0,0,0.0,0.0,20260209_220019,0.0,0.0,0.0,0.0,0.820869654417038,0.8460871088504791,0.8331400942802429
arn:aws:bedrock:us-east-1:867344470723:inference-profile/us.anthropic.claude-3-haiku-20240307-v1:0,0.0,0.0,0,0,0.0,0.0,20260209_220019,0.0,0.0,0.0,0.0,0.820869654417038,0.8460871088504791,0.8331400942802429
